Nation,Name,Position,App,Gls,Pen,App,Gls,Pen,App,Gls,Pen
,,,League,League,League,FA Cup,FA Cup,FA Cup,Other,Other,Other
,"BACON, Arthur	Centre ",, , , , , , , ,	
,"BEDFORD, Harry	Centre ",, , , , , , , ,	
,"CARR, Billy	Full ",, , , , ,	
,"COLLIN, George	Full ",, , , , ,	
,"COOPER, Tommy	Full ",, , , , ,	
,"CRILLY, Tommy	Full ",, , , , ,	
,"CROOKS,",, ,S,a,m,m,y,	,W,i,n,g,e,r,	
,"DAVISON, Tommy	Central ",, , , , , , , , ,	
,"GILL, Jimmy	Inside ",, , , , , , , ,	
,"HAMPTON,",, ,J,o,h,n,	,G,o,a,l,k,e,e,p,e,r,	
,"HANNEY, Mick	Centre ",, , , , , , , ,	
,"HOPE, Jack	Inside ",, , , , , , , ,	
,"KELLY,",, ,D,a,n,	,W,i,n,g,e,r,	
,"MALLOCH, Gavin	Wing ",, , , , ,	
,"MCINTYRE, Johnny	Wing ",, , , , ,	
,"MCLAVERTY, Bernard	Wing ",, , , , ,	
,"MEE,",, ,G,e,o,r,g,e,	,W,i,n,g,e,r,	
,"MURPHY, Lionel ",     	Winger
,"O'BRIEN, Mick	Central ",, , , , , , , , ,	
,"OLNEY,",, ,B,e,n,	,G,o,a,l,k,e,e,p,e,r,	
,"PICKEN,",, ,A,l,b,e,r,t,	,W,i,n,g,e,r,	
,"ROBINSON, Tom	Wing ",, , , , ,	
,"ROBSON, Bill	Full ",, , , , ,	
,"SCOTT, Archie	Wing ",, , , , ,	
,"STEPHENSON, George	Inside ",, , , , , , , ,	
,"STORER, Harry	Wing ",, , , , ,	
,"THOMS, Harry	Centre ",, , , , ,	
,"THORNEWELL,",, ,G,e,o,r,g,e,	,W,i,n,g,e,r,	
,"WHITE, Alfie	Inside ",, , , , , , , ,	
,"WHITEHOUSE, Jack	Inside ",, , , , , , , ,	
,"WIGHTMAN, Harry	Centre ",, , , , ,	
,"WILKES,",, ,H,a,r,r,y,	,G,o,a,l,k,e,e,p,e,r
