Nation,Name,Position,App,Gls,Pen,App,Gls,Pen,App,Gls,Pen
,,,League,League,League,FA Cup,FA Cup,FA Cup,Other,Other,Other
,"ANDERSON, Thomas	Centre ",, , , , , , , ,	
,"BALLANTYNE, John	Full ",, , , , ,	
,"BARRINGTON, Jimmy	Full ",, , , , ,	
,"BOND,",, ,D,i,c,k,i,e,	,W,i,n,g,e,r,	
,"BOOCOCK, Irvine	Full ",, , , , ,	
,"BRAITHWAITE, Ted	Inside ",, , , , , , , ,	
,"CARRUTHERS, John	Centre ",, , , , , , , ,	
,"CHALMERS, Andrew	Inside ",, , , , , , , ,	
,"CHEETHAM, Samuel	Full ",, , , , ,	
,"COOK,",, ,C,h,a,r,l,i,e,	,W,i,n,g,e,r,	
,"DIXON, Ernie	Centre ",, , , , , , , ,	
,"DUCKETT, Don	Wing ",, , , , ,	
,"EWART,",, ,J,o,c,k,	,G,o,a,l,k,e,e,p,e,r,	
,"FOX, Oscar	Inside ",, , , , , , , ,	
,"GANE, George	Full ",, , , , ,	
,"GOLDTHORPE, Ernie	Centre ",, , , , , , , ,	
,"HARGREAVES, Joe	Wing ",, , , , ,	
,"HAY, John	Full ",, , , , ,	
,"HIBBERT, Billy	Centre ",, , , , , , , ,	
,"HILL, Tommy	Wing ",, , , , ,	
,"HOWSON, Billy	Inside ",, , , , , , , ,	
,"KILBORN, Cecil	Inside ",, , , , , , , ,	
,"LOGAN,",, ,P,e,t,e,r,	,W,i,n,g,e,r,	
,"MARSH, Joe	Inside ",, , , , , , , ,	
,"MCILVENNY, Jimmy	Inside ",, , , , , , , ,	
,"NEWTON, Frank	Wing ",, , , , ,	
,"POTTS, Fred	Full ",, , , , ,	
,"PRATT, David	Wing ",, , , , ,	
,"RIGBY,",, ,A,r,t,h,u,r,	,W,i,n,g,e,r,	
,"ROBB, Tommy	Wing ",, , , , ,	
,"SHAW, William	Inside ",, , , , , , , ,	
,"STORER, Charlie	Centre ",, , , , ,	
,"THOMAS,",, ,A,l,f,	,W,i,n,g,e,r,	
,"WALKER, Bob	Full ",, , , , ,	
,"WATSON, Willie	Full ",, , , , ,	
,"WILKINSON,",, ,A,l,g,y,	,G,o,a,l,k,e,e,p,e,r,	
,"WINN,",, ,N,o,r,m,a,n,	,W,i,n,g,e,r,	
