Nation,Name,Position,App,Gls,Pen,App,Gls,Pen,App,Gls,Pen
,,,League,League,League,FA Cup,FA Cup,FA Cup,Other,Other,Other
,"CANTRELL, Jimmy	Centre ",, , , , , , , ,	
,"CLAMP, Arthur	Centre ",, , , , ,	
,"CRAYTHORNE, Ben	Wing ",, , , , ,	
,"DEAN,",, ,J,e,r,r,y,	,W,i,n,g,e,r,	
,"EMBERTON, Teddy	Wing ",, , , , ,	
,"FLINT, Billy	Wing ",, , , , ,	
,"GARRATT, Fred	Centre ",, , , , ,	
,"GRICE,",, ,R,e,u,b,e,n,	,W,i,n,g,e,r,	
,"GRIFFITHS, Arthur	Full ",, , , , ,	
,"IREMONGER,",, ,A,l,b,e,r,t,	,G,o,a,l,k,e,e,p,e,r,	
,"MATTHEWS, Billy	Inside ",, , , , , , , ,	
,"MCCULLOCH, Gordon	Inside ",, , , , , , , ,	
,"MORLEY, Bert	Full ",, , , , ,	
,"PACEY, Herbert	Wing ",, , , , ,	
,"PEPPER, Frederick	Wing ",, , , , ,	
,"RICHARDS, Sam	Inside ",, , , , , , , ,	
,"WALKER,",, ,A,l,b,e,r,t,	,W,i,n,g,e,r,	
,"WATERALL, Albert	Wing ",, , , , ,	
,"WATERALL,",, ,I,k,e,	,W,i,n,g,e,r,	
,"WEST, Alf	Full ",, , , , ,	
