Nation,Name,Position,App,Gls,Pen,App,Gls,Pen,App,Gls,Pen
,,,League,League,League,FA Cup,FA Cup,FA Cup,Other,Other,Other
,"ADEY, Tom	Wing ",, , , , ,	
,"ALLEN,",, ,T,o,m,m,y,	,G,o,a,l,k,e,e,p,e,r,	
,"ARDLEY, George	Wing ",, , , , ,	
,"BEST,",, ,B,o,b,b,y,	,W,i,n,g,e,r,	
,"BUCHAN, Charlie	Inside ",, , , , , , , ,	
,"COOKE, Fred	Centre ",, , , , , , , ,	
,"COVERDALE, Robert	Wing ",, , , , ,	
,"CROSSLEY, Charlie	Inside ",, , , , , , , ,	
,"CROWN, Laurie	Full ",, , , , ,	
,"CUGGY, Frank	Wing ",, , , , ,	
,"DEMPSTER,",, ,J,a,m,e,s,	,G,o,a,l,k,e,e,p,e,r,	
,"DIXON, Tommy	Wing ",, , , , ,	
,"ELLIS,",, ,B,i,l,l,y,	,W,i,n,g,e,r,	
,"ENGLAND, Ernie	Full ",, , , , ,	
,"GLIDDEN,",, ,T,o,m,m,y,	,W,i,n,g,e,r,	
,"HAGGAN, John	Wing ",, , , , ,	
,"HOBSON, Bert	Full ",, , , , ,	
,"HOPE, Phil	Full ",, , , , ,	
,"HUGHES, Dick	Full ",, , , , ,	
,"JOHNSON, Joseph	Full ",, , , , ,	
,"KASHER, Joe	Centre ",, , , , ,	
,"MARTIN,",, ,H,a,r,r,y,	,W,i,n,g,e,r,	
,"MOORE, Billy	Inside ",, , , , , , , ,	
,"MORDUE,",, ,J,a,c,k,i,e,	,W,i,n,g,e,r,	
,"MORRISON, John	Full ",, , , , ,	
,"NESS, Harry	Full ",, , , , ,	
,"PAGE,",, ,J,a,c,k,	,W,i,n,g,e,r,	
,"PARKER, Dick	Centre ",, , , , , , , ,	
,"PHILIP, George	Centre ",, , , , , , , ,	
,"POOLE, Jack	Wing ",, , , , ,	
,"SCOTT,",, ,L,e,s,l,i,e,	,G,o,a,l,k,e,e,p,e,r,	
,"SHERWIN, Harry	Wing ",, , , , ,	
,"SHORE, Victor	Inside ",, , , , , , , ,	
,"STEVENSON, John	Inside ",, , , , , , , ,	
,"THOMPSON, Tom	Centre ",, , , , ,	
,"TRAVERS, Barney	Centre ",, , , , , , , ,	
,"TURNER,",, ,N,e,i,l,	,W,i,n,g,e,r,	
,"YOUNG, Bob	Full ",, , , , ,	
