Nation,Name,Position,App,Gls,Pen,App,Gls,Pen,App,Gls,Pen
,,,League,League,League,FA Cup,FA Cup,FA Cup,Other,Other,Other
,"BADDELEY, George	Wing ",, , , , ,	
,"BENSON, Harry	Full ",, , , , ,	
,"BENTON,",, ,J,a,c,k,	,G,o,a,l,k,e,e,p,e,r,	
,"BRADLEY, Jimmy	Wing ",, , , , ,	
,"BRINDLEY,",, ,H,o,r,a,c,e,	,W,i,n,g,e,r,	
,"BROWN,",, ,G,e,o,r,g,e,	,W,i,n,g,e,r,	
,"BURGESS, Charlie	Full ",, , , , ,	
,"COXON,",, ,T,o,m,m,y,	,W,i,n,g,e,r,	
,"FIELDING,",, ,R,o,s,s,	,W,i,n,g,e,r,	
,"FREEMAN,",, ,N,e,d,d,y,	,W,i,n,g,e,r,	
,"GALLIMORE, George	Inside ",, , , , , , , ,	
,"GODLEY, Bill	Inside ",, , , , , , , ,	
,"HAINES,",, ,W,i,l,f,	,W,i,n,g,e,r,	
,"HALL, Jack	Centre ",, , , , , , , ,	
,"HARTSHORNE, Albert	Full ",, , , , ,	
,"HAWORTH, Jack	Centre ",, , , , , , , ,	
,"HESHAM,",, ,F,r,a,n,k,	,W,i,n,g,e,r,	
,"HOLDCROFT, Teddy	Inside ",, , , , , , , ,	
,"HOLFORD, Tom	Centre ",, , , , ,	
,"LEONARD, Arthur	Inside ",, , , , , , , ,	
,"MEREDITH, Sam	Full ",, , , , ,	
,"PITT,",, ,A,l,b,e,r,t,	,W,i,n,g,e,r,	
,"ROUSE, Fred	Inside ",, , , , , , , ,	
,"SHERIDAN, Jimmy	Inside ",, , , , , , , ,	
,"STURGESS, Albert	Wing ",, , , , ,	
,"USHERWOOD,",, ,A,r,t,h,u,r,	,W,i,n,g,e,r,	
,"WHITEHOUSE, Frank ",       	Inside Forward
,"WHITLEY,",, ,J,a,c,k,	,G,o,a,l,k,e,e,p,e,r,	
,"WHITTINGHAM, Bob	Inside ",, , , , , , , ,	
