Nation,Name,Position,App,Gls,Pen,App,Gls,Pen,App,Gls,Pen
,,,League,League,League,FA Cup,FA Cup,FA Cup,Other,Other,Other
,"BENSON,",, ,G,e,o,r,g,e,	,W,i,n,g,e,r,	
,"BIBBY, Joe	Full ",, , , , ,	
,"COPITCH, Bill	Inside ",, , , , , , , ,	
,"DAWSON, Percy	Centre ",, , , , , , , ,	
,"DONNELLY, Jim	Full ",, , , , ,	
,"DUCKWORTH, Fred	Full ",, , , , ,	
,"HAWKSWORTH, Ernest	Inside ",, , , , , , , ,	
,"HEALLESS, Harry	Wing ",, , , , ,	
,"HEATON, Tommy	Wing ",, , , , ,	
,"HODGSON, Fred	Full ",, , , , ,	
,"HODKINSON,",, ,J,o,e,	,W,i,n,g,e,r,	
,"HOLLAND, Peter	Inside ",, , , , , , , ,	
,"KERR, John	Wing ",, , , , ,	
,"MCCALL,",, ,W,i,l,l,i,e,	,W,i,n,g,e,r,	
,"MCDONALD, John	Inside ",, , , , , , , ,	
,"MCKINNELL, Jimmy	Wing ",, , , , ,	
,"RALPHS,",, ,B,e,r,t,	,W,i,n,g,e,r,	
,"REILLY, Frank	Centre ",, , , , ,	
,"ROBINSON,",, ,A,l,f,r,e,d,	,G,o,a,l,k,e,e,p,e,r,	
,"ROBINSON,",, ,P,a,t,	,W,i,n,g,e,r,	
,"RODGERS, Norman	Inside ",, , , , , , , ,	
,"ROLLO, Dave	Full ",, , , , ,	
,"SANDHAM, William	Inside ",, , , , , , , ,	
,"SEWELL,",, ,R,o,n,n,i,e,	,G,o,a,l,k,e,e,p,e,r,	
,"SKINNER, George	Wing ",, , , , ,	
,"THORPE, Levy	Wing ",, , , , ,	
,"WATSON, William	Wing ",, , , , ,	
,"WEBSTER, Maurice	Central ",, , , , , , , , ,	
,"WYLIE, Tom	Full ",, , , , 
