Nation,Name,Position,App,Gls,Pen,App,Gls,Pen,App,Gls,Pen
,,,League,League,League,FA Cup,FA Cup,FA Cup,Other,Other,Other
,"ASHMAN, Don	Full ",, , , , ,	
,"BROWN,",, ,J,o,e,	,W,i,n,g,e,r,	
,"BRUCE, Bobbie	Inside ",, , , , , , , ,	
,"CAMERON, Ken	Inside ",, , , , , , , ,	
,"CAMSELL, George	Centre ",, , , , , , , ,	
,"CARR, Jackie	Inside ",, , , , , , , ,	
,"ELKES, Jack	Inside ",, , , , , , , ,	
,"EMMERSON,",, ,G,e,o,r,g,e,	,W,i,n,g,e,r,	
,"FERGUSON, Robert	Centre ",, , , , ,	
,"FORREST, Billy	Wing ",, , , , ,	
,"FREEMAN, Reg	Full ",, , , , ,	
,"HALL, Allan	Centre ",, , , , , , , ,	
,"HILLIER,",, ,J,o,e,	,G,o,a,l,k,e,e,p,e,r,	
,"JARVIS, Sid	Full ",, , , , ,	
,"JENNINGS, Jack	Full ",, , , , ,	
,"MACFARLANE, John	Wing ",, , , , ,	
,"MATHIESON,",, ,J,i,m,m,y,	,G,o,a,l,k,e,e,p,e,r,	
,"MCKAY, Jock	Inside ",, , , , , , , ,	
,"MILLER, Joe	Wing ",, , , , ,	
,"MUTTITT, Ernie	Inside ",, , , , , , , ,	
,"PEACOCK, Joe	Wing ",, , , , ,	
,"PEASE,",, ,B,i,l,l,y,	,W,i,n,g,e,r,	
,"PERRY, Ivor	Centre ",, , , , ,	
,"SMITH, Jock	Full ",, , , , ,	
,"WARREN,",, ,F,r,e,d,d,i,e,	,W,i,n,g,e,r,	
,"WATSON, Bert	Wing ",, , , , ,	
,"WEBSTER, Maurice	Central ",, , , , , , , , ,	
,"WILLIAMS,",, ,O,w,e,n,	,W,i,n,g,e,r,	
