Nation,Name,Position,App,Gls,Pen,App,Gls,Pen,App,Gls,Pen
,,,League,League,League,FA Cup,FA Cup,FA Cup,Other,Other,Other
,"BALL, Jack	Centre ",, , , , , , , ,	
,"BENNION, Ray	Wing ",, , , , ,	
,"BOYLE, Tommy	Inside ",, , , , , , , ,	
,"CHESTERS,",, ,A,r,t,h,u,r,	,G,o,a,l,k,e,e,p,e,r,	
,"DALE, Billy	Full ",, , , , ,	
,"HANSON, Jimmy	Inside ",, , , , , , , ,	
,"HILDITCH, Clarrie	Wing ",, , , , ,	
,"JONES, Tom	Full ",, , , , ,	
,"MANN, Frank	Inside ",, , , , , , , ,	
,"MCLACHLAN,",, ,G,e,o,r,g,e,	,W,i,n,g,e,r,	
,"MCLENAHAN, Hugh	Wing ",, , , , ,	
,"MOORE, Charlie	Full ",, , , , ,	
,"RAWLINGS, Bill	Centre ",, , , , , , , ,	
,"REID, Tommy	Centre ",, , , , , , , ,	
,"ROWLEY, Harry	Inside ",, , , , , , , ,	
,"SILCOCK, Jack	Full ",, , , , ,	
,"SPENCE,",, ,J,o,e,	,W,i,n,g,e,r,	
,"SPENCER, Charlie	Centre ",, , , , ,	
,"STEWARD,",, ,A,l,f,	,G,o,a,l,k,e,e,p,e,r,	
,"SWEENEY, Eric	Inside ",, , , , , , , ,	
,"TAYLOR, Christopher	Centre ",, , , , ,	
,"THOMAS,",, ,H,a,r,r,y,	,W,i,n,g,e,r,	
,"THOMSON, Arthur	Inside ",, , , , , , , ,	
,"WARBURTON, Arthur	Inside ",, , , , , , , ,	
,"WILSON, Jack	Wing ",, , , , ,	
