Nation,Name,Position,App,Gls,Pen,App,Gls,Pen,App,Gls,Pen
,,,League,League,League,FA Cup,FA Cup,FA Cup,Other,Other,Other
,"ALLEN, Jack	Full ",, , , , ,	
,"BARNES, Horace	Inside ",, , , , , , , ,	
,"BROWELL, Tommy	Centre ",, , , , , , , ,	
,"BULLOCK, Jim	Centre ",, , , , , , , ,	
,"CALDERWOOD, James	Full ",, , , , ,	
,"COOKSON, Sam	Full ",, , , , ,	
,"CROMPTON,",, ,L,e,n,	,G,o,a,l,k,e,e,p,e,r,	
,"DANIELS,",, ,A,r,t,h,u,r,	,W,i,n,g,e,r,	
,"DANIELS, Norman	Wing ",, , , , ,	
,"DORAN, Jack	Centre ",, , , , , , , ,	
,"ETHERINGTON,",, ,R,o,b,e,r,t,	,W,i,n,g,e,r,	
,"FAIRBROTHER, Ronald	Centre ",, , , , ,	
,"FAYERS, Fred	Centre ",, , , , ,	
,"FLETCHER, Eli	Full ",, , , , ,	
,"GOODCHILD,",, ,J,i,m,	,G,o,a,l,k,e,e,p,e,r,	
,"HAMILL, Mickey	Wing ",, , , , ,	
,"JOHNSON, Tommy	Inside ",, , , , , , , ,	
,"KELLY,",, ,P,a,d,d,y,	,W,i,n,g,e,r,	
,"MEREDITH,",, ,B,i,l,l,y,	,W,i,n,g,e,r,	
,"MITCHELL,",, ,J,a,m,e,s,	,G,o,a,l,k,e,e,p,e,r,	
,"MORRIS,",, ,H,u,g,h,	,W,i,n,g,e,r,	
,"MULLIGAN, Jimmy	Full ",, , , , ,	
,"MURPHY, Billy ",     	Winger
,"PRINGLE, Charlie	Wing ",, , , , ,	
,"ROBERTS, Frank	Centre ",, , , , , , , ,	
,"SHARP, Sammy	Wing ",, , , , ,	
,"THOMPSON, Frank	Full ",, , , , ,	
,"UTLEY, George	Wing ",, , , , ,	
,"WARNER, Jack	Inside ",, , , , , , , ,	
,"WILSON, Billy	Full ",, , , , ,	
