Nation,Name,Position,App,Gls,Pen,App,Gls,Pen,App,Gls,Pen
,,,League,League,League,FA Cup,FA Cup,FA Cup,Other,Other,Other
,"BALL, Tommy	Centre ",, , , , ,	
,"BARNIE-ADSHEAD, William	Centre ",, , , , ,	
,"BLACKBURN, George	Wing ",, , , , ,	
,"BRETT, Frank	Full ",, , , , ,	
,"CAPEWELL, Len	Centre ",, , , , , , , ,	
,"DEARN, Stephen	Wing ",, , , , ,	
,"DICKSON, Ian	Centre ",, , , , , , , ,	
,"DORRELL,",, ,A,r,t,h,u,r,	,W,i,n,g,e,r,	
,"GILLIBRAND,",, ,E,r,n,e,s,t,	,W,i,n,g,e,r,	
,"HARKUS, George	Central ",, , , , , , , , ,	
,"HARRIS, Cecil	Full ",, , , , ,	
,"HOWGATE, Archie	Inside ",, , , , , , , ,	
,"JACKSON,",, ,T,o,m,m,y,	,G,o,a,l,k,e,e,p,e,r,	
,"JOHNSTONE, Jock	Wing ",, , , , ,	
,"JONES, Percy	Full ",, , , , ,	
,"KIRTON, Billy	Inside ",, , , , , , , ,	
,"MELLAN, David	Wing ",, , , , ,	
,"MORT, Tommy	Full ",, , , , ,	
,"MOSS, Frank	Wing ",, , , , ,	
,"PARKES, Horace	Full ",, , , , ,	
,"ROXBURGH,",, ,J,a,c,k,	,W,i,n,g,e,r,	
,"SMART, Tommy	Full ",, , , , ,	
,"SPIERS,",, ,C,y,r,i,l,	,G,o,a,l,k,e,e,p,e,r,	
,"STEPHENSON, George	Inside ",, , , , , , , ,	
,"WALKER, Billy	Inside ",, , , , , , , ,	
,"YORK,",, ,D,i,c,k,y,	,W,i,n,g,e,r
