Nation,Name,Position,App,Gls,Pen,App,Gls,Pen,App,Gls,Pen
,,,League,League,League,FA Cup,FA Cup,FA Cup,Other,Other,Other
,"BEEVER, Alf	Wing ",, , , , ,	
,"BLACKWELL,",, ,E,r,n,e,s,t,	,G,o,a,l,k,e,e,p,e,r,	
,"BOYLE, Tommy	Inside ",, , , , , , , ,	
,"BROMAGE,",, ,E,n,o,s,	,W,i,n,g,e,r,	
,"BROMAGE,",, ,G,e,o,r,g,e,	,W,i,n,g,e,r,	
,"BROWN, Fred	Inside ",, , , , , , , ,	
,"COOK, Bill	Full ",, , , , ,	
,"GILLESPIE, Billy	Inside ",, , , , , , , ,	
,"GOUGH,",, ,H,a,r,o,l,d,	,G,o,a,l,k,e,e,p,e,r,	
,"HALLIWELL, Cliff	Wing ",, , , , ,	
,"HOYLAND, Walter	Inside ",, , , , , , , ,	
,"HUGHES,",, ,B,o,b,b,y,	,W,i,n,g,e,r,	
,"JOHNSON, Harry	Centre ",, , , , , , , ,	
,"KING, Seth	Central ",, , , , , , , , ,	
,"LOWE,",, ,D,a,v,e,y,	,W,i,n,g,e,r,	
,"MCCOURT, Jimmy	Centre ",, , , , ,	
,"MENLOVE, Bertie	Centre ",, , , , , , , ,	
,"MERCER,",, ,D,a,v,e,	,W,i,n,g,e,r,	
,"MILTON, Ernest	Full ",, , , , ,	
,"OLDACRE, Percy	Inside ",, , , , , , , ,	
,"PANTLING, Harry	Wing ",, , , , ,	
,"PLANT, Jim	Wing ",, , , , ,	
,"RAWSON, Albert	Centre ",, , , , , , , ,	
,"RICHARDSON, George	Wing ",, , , , ,	
,"SAMPY, Tommy	Wing ",, , , , ,	
,"STURGESS, Albert	Wing ",, , , , ,	
,"TUNSTALL,",, ,F,r,e,d,	,W,i,n,g,e,r,	
,"WAINWRIGHT,",, ,T,h,o,m,a,s,	,G,o,a,l,k,e,e,p,e,r,	
,"WAUGH, Jimmy	Central ",, , , , , , , , ,	
